Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3d printing","the case ",1,8.00,"","Printing legion"
"Screws & screw inserts","Hold the case",10,0.00,"","Self sourced"
"Keycaps ","to put on top of mx-switch",2,0.00,"","Self sourced"
"MX-switches","Buttons for the display",2,0.00,"","Self sourced"
"Battery","Hold the power",1,0.00,"","Self sourced"
"Switch","Turn power on/off",1,1.90,"https://www.aliexpress.com/item/4001099324784.html?spm=a2g0o.cart.0.0.323438daUSWo4f&mp=1&pdp_npi=6%40dis%21USD%21USD+1.90%21USD+1.90%21%21USD+1.90%21%21%21%402103868817764539727863716ecf95%2110000014394577426%21ct%21DK%217012912093%21%211%210%21","Aliexpress"
"TP4056 ","Charge battery",1,1.39,"https://www.aliexpress.com/item/1005006262287189.html?spm=a2g0o.cart.0.0.323438daUSWo4f&mp=1&pdp_npi=6%40dis%21USD%21USD+4.21%21USD+1.39%21%21USD+1.38%21%21%21%402103868817764539727863716ecf95%2112000036515023530%21ct%21DK%217012912093%21%211%210%21","Aliexpress"
"10k potentiometer","Volume control",5,2.50,"https://www.aliexpress.com/item/1005003161558340.html?spm=a2g0o.cart.0.0.323438daUSWo4f&mp=1&pdp_npi=6%40dis%21USD%21USD+2.49%21USD+2.49%21%21USD+2.49%21%21%21%402103868817764539727863716ecf95%2112000024425220398%21ct%21DK%217012912093%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D","Aliexpress"
"C3 Mini","ESP32",1,6.63,"https://www.aliexpress.com/item/1005004740051202.html?spm=a2g0o.cart.0.0.323438daUSWo4f&mp=1&pdp_npi=6%40dis%21USD%21USD+6.63%21USD+6.63%21%21USD+6.63%21%21%21%402103868817764539727863716ecf95%2112000056120453300%21ct%21DK%217012912093%21%211%210%21","Aliexpress"
"ST7735 ","LCD",1,4.80,"https://www.aliexpress.com/item/1005009936908326.html?spm=a2g0o.cart.0.0.323438daUSWo4f&mp=1&pdp_npi=6%40dis%21USD%21USD+9.55%21USD+4.77%21%21USD+4.72%21%21%21%402103868817764539727863716ecf95%2112000050625051194%21ct%21DK%217012912093%21%211%210%21","Aliexpress"
